epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.838,2.06937,4.0736,2.01859,0.37934,0.06459,0.03788,0.01794,2.32442,4.02163,2.57534,0.00332938,0.00332938,0.0700355
2,996.987,1.87355,2.81907,1.79,0.36605,0.07559,0.03281,0.01191,2.37328,3.86235,2.48614,0.00664073,0.00664073,0.0400136
3,1495.71,1.98355,2.96303,1.89934,0.68585,0.0486,0.04067,0.01766,2.19781,3.39696,2.27834,0.00993008,0.00993008,0.00996957
4,1993.84,1.99349,2.94473,1.94283,0.68666,0.07995,0.09531,0.04419,1.97353,3.01455,2.09868,0.009901,0.009901,0.009901
5,2494.13,1.89306,2.63461,1.85,0.19261,0.15821,0.08259,0.03855,2.08269,3.28543,2.12699,0.009868,0.009868,0.009868
6,2994.92,1.8394,2.52083,1.80757,0.42119,0.13888,0.10477,0.04961,1.8709,2.50585,1.95235,0.009835,0.009835,0.009835
7,3500.62,1.80955,2.43548,1.78493,0.42623,0.20705,0.17961,0.08307,1.79602,2.19412,1.86177,0.009802,0.009802,0.009802
8,4010.33,1.79293,2.39348,1.76404,0.3518,0.19693,0.17392,0.08306,1.75363,2.14883,1.80766,0.009769,0.009769,0.009769
9,4516.71,1.77505,2.36644,1.7577,0.50978,0.20131,0.18544,0.08923,1.7364,2.09865,1.79974,0.009736,0.009736,0.009736
10,5029.83,1.76569,2.31018,1.74538,0.4678,0.21053,0.20042,0.09612,1.70926,2.08446,1.77679,0.009703,0.009703,0.009703
11,5542.7,1.75067,2.28897,1.72776,0.43238,0.22796,0.19397,0.0916,1.72759,2.08694,1.79616,0.00967,0.00967,0.00967
12,6052.15,1.73458,2.23979,1.72477,0.38432,0.23296,0.21625,0.10477,1.67757,2.01242,1.74482,0.009637,0.009637,0.009637
13,6557.4,1.72314,2.1967,1.70826,0.42131,0.24953,0.22671,0.10812,1.67941,1.98485,1.73137,0.009604,0.009604,0.009604
14,7064.33,1.72053,2.1996,1.7074,0.36385,0.24255,0.22745,0.11354,1.66273,1.96889,1.73155,0.009571,0.009571,0.009571
15,7569.45,1.72476,2.17712,1.70338,0.41731,0.25359,0.23235,0.11567,1.65879,1.95675,1.71741,0.009538,0.009538,0.009538
16,8074.14,1.70109,2.16988,1.68948,0.44156,0.26087,0.23918,0.11755,1.64906,1.93816,1.70898,0.009505,0.009505,0.009505
17,8580.18,1.71019,2.14506,1.68976,0.34587,0.26096,0.24527,0.12078,1.64287,1.91752,1.70428,0.009472,0.009472,0.009472
18,9087.63,1.69806,2.14248,1.68707,0.37929,0.26425,0.24256,0.12072,1.64313,1.91538,1.7056,0.009439,0.009439,0.009439
